tweet_id,Date,User,Tweet
25,2023-02-23 17:46:16+00:00,IndiaToday,"The CBI registered a case against an Indian Revenue Service officer and a senior intelligence officer of DGGI.
(@divyeshas )
https://t.co/Nphis3M0EY"
26,2023-02-23 17:45:07+00:00,IndiaToday,"Maharashtra Deputy CM #DevendraFadnavis has hit back at NCP chief #SharadPawar, over his party leader's appeal to 'bring voters from Dubai'.
(@ritvick_ab)
https://t.co/8C90ZzxshQ"
27,2023-02-23 17:43:35+00:00,IndiaToday,"#SaeedAkhtarMirza is the former director of the Film and Television Institute of India in #Pune.
(@KGShibimol)
https://t.co/KEcl6bpfm4"
28,2023-02-23 17:42:39+00:00,IndiaToday,"The arrest was made under the Prevention of Money Laundering Act, 2002 and is related to the misappropriation of public deposits of more than Rs 1000 crore.
(@divyeshas)
https://t.co/JQZZcvq6Xa"
29,2023-02-23 17:41:28+00:00,IndiaToday,"Several vehicles were charred after a massive fire broke out in the dumping yard of the #Lucknow Municipal Corporation on Thursday.
(@ashishaajtak)
https://t.co/HK8wcOE5uA"
30,2023-02-23 17:39:27+00:00,IndiaToday,"Sanjay Devram Bhoir has been arrested for evading payment of service tax to the tune of Rs 2.26 crore.
(@divyeshas) 
#Mumbai #news 
https://t.co/gui6Pw3hPl"
31,2023-02-23 17:36:51+00:00,IndiaToday,"Videos of people behaving oddly on American streets are going viral. What is happening? Watch to know more.

#NewsMo #ZombieDrug #US https://t.co/Y09fp0Db1k"
32,2023-02-23 17:27:32+00:00,IndiaToday,"The story behind Amrish Puri’s character in #DDLJ was featured in #TheRomantics. Did you spot it?

https://t.co/utxRnSU8c4"
33,2023-02-23 16:50:43+00:00,IndiaToday,"That's how Amritpal Singh outsmarted Punjab Police: He brought Sri Guru Granth Sahib to the showdown site, observes @HarmeetSS
@sushantsareen says, ""Isn't it the job of the Central govt to take back the state from such an 'irresponsible' govt.""
#IndiaFirst  | @gauravcsawant https://t.co/0Qr7LDZhmH"
34,2023-02-23 16:47:01+00:00,IndiaToday,"Can India break China's lithium monopoly? Watch to know more. 

#NewsMo #India #China #Lithium #Monopoly | @sakshibatra18 https://t.co/RtCKsJmDh8"
35,2023-02-23 16:44:41+00:00,IndiaToday,"Should politics be avoided on a tense situation in Ajnala? 
BJP's @rpsinghkhalsa says, ""This reminds me of what happened in the late 70s &amp; early 80s in Punjab.""  
Senior fellow, ORF, @sushantsareen raises question on the law &amp; order of the state
#IndiaFirst  | @gauravcsawant https://t.co/XVn0Ksm8dY"
36,2023-02-23 16:43:53+00:00,IndiaToday,"The Communist Party of India cadres attempted to hold a black flag protest against Governor RN Ravi over his remarks against Karl Marx.
(@PramodMadhav6)
#TamilNadu #News
https://t.co/Skhr8cavp0"
37,2023-02-23 16:41:54+00:00,IndiaToday,"Fearing Covid-19, a woman had locked herself along with her 10-year-old son inside their Gurugram home for three years. @nabilajamal_ tells us more 

#SocialMediaSpecial #ITReel #ITNewsByte #Gurugram #Covid19 https://t.co/oYqYNFv39g"
38,2023-02-23 16:41:17+00:00,IndiaToday,"According to the details, work was underway at an under-construction building where several labourers had been deployed.
#Thane
https://t.co/7xCV00Nep3"
39,2023-02-23 16:40:02+00:00,IndiaToday,"Sikh separatist leader Amritpal’s supporters clash with cops
@kamaljitsandhu brings in all the latest from the ground 

#Amritsar #IndiaFirst  | @gauravcsawant https://t.co/gVnZPmJKnE"
40,2023-02-23 16:34:05+00:00,IndiaToday,"Mann govt under pressure as Khalistani leader Amritpal Singh's aide stage protest in Punjab's #Ajnala 
Watch this ground report by India Today's @kamaljitsandhu 
#Amritsar #IndiaFirst | @gauravcsawant https://t.co/TiJSj9XnfI"
41,2023-02-23 16:26:04+00:00,IndiaToday,"Khalistan ideologue dares cops!
Watch #IndiaFirst with @gauravcsawant| #ITLivestream  

  https://t.co/WSP9uytfKp"
42,2023-02-23 16:23:57+00:00,IndiaToday,"Image of the day: Biker finds his 'soulmate' in the form of a bird

#NewsToday | @sardesairajdeep https://t.co/W7I6JVqFU9"
43,2023-02-23 16:22:41+00:00,IndiaToday,"Supporters of Khalistani leader clash with police, injure 6 cops
Watch this ground report by India Today's @kamaljitsandhu

#Amritsar #NewsToday | @sardesairajdeep https://t.co/EWlSzuMk2w"
44,2023-02-23 16:21:46+00:00,IndiaToday,"Business Today's @TheSouravM says, ""SEBI also needs to carry investigation about the sellers of Adani shares.""
""SEBI is mandated to do the free &amp; fare conduct of the market,"" says Churiwala Securities MD @alokgbc.  

#AdaniGroup #Business #NewsToday | @sardesairajdeep https://t.co/02LEh8dDGN"
45,2023-02-23 16:18:34+00:00,IndiaToday,"At the Shiv Sena’s first national executive this week, a resolution was reportedly passed to amend the party's constitution.
(@ritvick_ab)
#Maharashtra #News 
https://t.co/Gu5CqlNx36"
46,2023-02-23 16:17:36+00:00,IndiaToday,"The accused argued that as there were several common accused, common witnesses and documents in both cases, it would save them the agony of a dual trial if both were combined.
(@journovidya)
https://t.co/Wvn7ip260Z"
