,Date,User,Tweet
31,2023-02-23 16:26:09+00:00,ndtv,"#TheNews | AAP Vs BJP, Midnight Chaos At Delhi Civic Body, Bottles, Ballot Boxes Fly  https://t.co/kjazvlDzH0 https://t.co/ewtBLz7P5I"
32,2023-02-23 16:23:05+00:00,ndtv,"#TheNews | Cow Vigilantes Drove For 20 Hours Before Killing Muslim Men In Haryana: Sources https://t.co/GzGGjZN1tw

NDTV's Saurabh Shukla reports https://t.co/0sKUDakndi"
33,2023-02-23 16:22:17+00:00,ndtv,"#TheNews | Ahead Of G-20 Meet, Finance Minister Meets Counterparts, Discusses Crypto Regulation https://t.co/HeM8TvSutp

NDTV's Sreeja MS reports https://t.co/1ITeonlD2W"
34,2023-02-23 16:21:16+00:00,ndtv,#TheNews | Punjab Radical Leader's Aide To Be Freed After Supporters Clash With Cops  https://t.co/FkIHLbh1bo https://t.co/SYUpylNcdO
35,2023-02-23 16:18:41+00:00,ndtv,#TheNews | Arvind Kejriwal's Aide Questioned By Probe Agency In Liquor Policy Case  https://t.co/GPJdOia3GN https://t.co/EJJXNNjD9l
36,2023-02-23 16:16:53+00:00,ndtv,"#TheNews | ""Whether He Is In Sky Or On Earth..."": Himanta Sarma On Pawan Khera Arrest  https://t.co/eHB8VJNssr https://t.co/GrDreutYdd"
37,2023-02-23 16:13:44+00:00,ndtv,#INDWvAUSW https://t.co/wL7uuQJV6Z
38,2023-02-23 16:04:13+00:00,ndtv,"#TheNews | ""We Are Protecting You"": Supreme Court Relief For Congress' Pawan Khera https://t.co/ot7cJJGvsg

NDTV's Sunil Prabhu reports https://t.co/z6VQqf0LHG"
39,2023-02-23 15:36:47+00:00,ndtv,"#NDTVBeeps | 'The Romantics' Director On How She Convinced Aditya Chopra To Speak On Camera

Watch full interview here: https://t.co/3bJWEqKqAc https://t.co/12UynJi4YK"
40,2023-02-23 15:29:10+00:00,ndtv,"#NDTVBeeps | Shah Rukh Knew Names Of All Crew Members: 'The Romantics' Director Smriti Mundhra

Watch full interview here: https://t.co/3bJWEqKqAc https://t.co/Rrj1iCqUQh"
